لإسم,مجال النشاط,الولاية,الهاتف,الفاكس
مجمع الدراسات والبحوث في أمراض العمود الفقري,علمية,تونس,0,0
مجموعة إستكشاف التونسية أعماق البحار بالمرسى,علمية,تونس,71743055,71743055
مركز المتوسط للدراسات والإعلام,علمية,تونس,71242963,0
"مركز المرأة العربية للتدريب والبحوث ""كوثر""",علمية,تونس,71773511,71773611
مركز الدراسات والأنشطة العمالية,علمية,تونس,,
مركز ابن رشد للدراسات والبحوث,علمية,تونس,,
معهد التدقيق الإجتماعي بتونس,علمية,تونس,,
منتدى الجامعيين التونسيين,علمية,تونس,71729197,71729264
المجلس الوطني لمتصرفي قطاع الصحة,علمية,تونس,,
المجلس الوطني لفنيي صناعة الأسنان,علمية,تونس,0,0
المجمع التونسي لدراسات وبحوث العمود الفقري والنخاع الشوكي,علمية,تونس,0,0
المرصد الدولي للتحولات السياسية والحوكمة,علمية,تونس,0,0
المرصد الوطني للرقي بتونس,علمية,تونس,,
المركز التونسي للدراسات ودعم اللامركزية والتنمية,علمية,تونس,,
المنظمة التونسية للإصلاح الجزائي والأمني,علمية,تونس,,
المنظمة الوطنية للمختصين في التغذية,علمية,تونس,71346345,71346345
الجمعبة التونسية لدراسة وعلاج الجروح,علمية,تونس,,
الجمعية المتوسطية للدراسات والتنمية الإجتماعية,علمية,تونس,,
الجمعية التونسية للمستشارين القانونيين,علمية,تونس,,
الجمعية التونسية للبحث والتجديد في شبكات الإتصال,علمية,تونس,,
الجمعية التونسية للخبراء الماليين والبنكيين,علمية,تونس,,
الجمعية التونسية للدراسات الهندسية,علمية,تونس,25305499,
الجمعية التونسية للخصوبة البشرية,علمية,تونس,,
الجمعية التونسية للعلوم الشرعية,علمية,تونس,,
الجمعية التونسية لتكنولوجيات الطيران والفضاء,علمية,تونس,,
الجمعية التونسية لسلامة الأنظمة المعلوماتية,علمية,تونس,0,0
الجمعية ألسن للترجمة والعلاقات الدولية,علمية,تونس,50567498,
الجمعية للإحصاء وتطبيقاته,علمية,تونس,,
الجمعية المالية,علمية,تونس,0,0
الجمعية المتوسطية للبحوث في علوم الرياضيات,علمية,تونس,,
الجمعية المتوسطية للصناعات الغذائية والزراعية,علمية,تونس,,
الجمعية المركزية التونسية الأنياب,علمية,تونس,,
الجمعية المغاربية للبيوتكنولوجيا بصلامبو تونس,علمية,تونس,0,0
الجمعية المغاربية للسلامة الصحية للأغذية بتونس,علمية,تونس,,
الجمعية المغاربية لتنمية دراسة الموارد البشرية,علمية,تونس,71704329,71704329
الجمعية الأفروتونسية للتغييرات المناخية والتنمية المستديمة,علمية,تونس,0,0
الجمعية المهنية للمندوبين الطبيين أريانة,علمية,تونس,,
الجمعية المهنية للمندوبين الطبيين تونس,علمية,تونس,,
الجمعية المهنية التونسية للبنوك والمؤسسات المالية,علمية,تونس,71904423,71903846
الجمعية المندمجة والتحليل الإحصائي والإقتصادي,علمية,تونس,0,0
الجمعية البحث العلمي من أجل التنمية تونس,علمية,تونس,98349459,71348524
الجمعية التونسية لأمراض الكبد والجهاز الهضمي,علمية,تونس,,
الجمعية التونسية للتشخيص عن بعد,علمية,تونس,,
الجمعية التونسية للتكوين في علم النفس التحليلي,علمية,تونس,,
الجمعية التونسية للدراسات المالية,علمية,تونس,,
الجمعية التونسية للدراسات التاريخية,علمية,تونس,71560840,71567551
الجمعية التونسية للدراسات في علم النفس التحليلي,علمية,تونس,71921145,0
الجمعية التونسية للعلوم والتكنولوجيا والتنمية,علمية,تونس,,
الجمعية التونسية للفلاحة الرقمية,علمية,تونس,0,0
الجمعية التونسية لعلوم الحياة والأرض,علمية,تونس,,
الجمعية التونسية لعلوم وتقنيات الصحة,علمية,تونس,,
الجمعية التونسية لطب الشرايين,علمية,تونس,,
الجمعية التونسية للأمراض الدم,علمية,تونس,71570777,71568241
الجمعية التونسية للأمراض الجلدية والتناسلية,علمية,تونس,71399115,71870163
الجمعية التونسية للأمراض السارية بتونس,علمية,تونس,71578822,71570506
الجمعية التونسية للأمراض الصدرية والحساسية,علمية,تونس,71564724,71564724
الجمعية التونسية للأمراض الصدرية والحساسية عند الأطفال,علمية,تونس,0,0
الجمعية التونسية للأمراض الغضروف,علمية,تونس,71560432,71560432
الجمعية التونسية للأمراض الفيروسية عند الحيوانات,علمية,تونس,0,0
الجمعية التونسية للأمراض الورمية والعلاج بالأشعة,علمية,تونس,,
الجمعية التونسية للمالية الإسلامية,علمية,تونس,0,0
الجمعية التونسية للمبدعين الشبان,علمية,تونس,0,0
الجمعية التونسية للمتفقدين داخل المؤسسات,علمية,تونس,71905700,71905832
الجمعية التونسية للمحللين التقنيين,علمية,تونس,,
الجمعية التونسية للأدب المقارن,علمية,تونس,71560932,71567551
الجمعية التونسية للمخترعين,علمية,تونس,71902551,71281729
الجمعية التونسية للمختصين في المحاسبة,علمية,تونس,0,0
الجمعية التونسية للأخصائيين في علوم الكهرباء,علمية,تونس,,
الجمعية التونسية للمدققين الداخليين,علمية,تونس,71905700,0
الجمعية التونسية لأمراض الدم مستشفى عزيزة عثمانة,علمية,تونس,,
الجمعية التونسية لأمراض الشرايين,علمية,تونس,,
الجمعية التونسية لأمراض وجراحة القلب والأوعية,علمية,تونس,,
الجمعية التونسية للمعماريين الخبراء في النجاعة في الطاقة,علمية,تونس,,
الجمعية التونسية للمواد التنومترية وتطبيقلتها,علمية,تونس,,
الجمعية التونسية للمواد والبيئة,علمية,تونس,,
الجمعية التونسية للأنتربولوجيا الإجتماعية والثقافية,علمية,تونس,21343087,0
الجمعية التونسية للأنترنات والوسائط المتعددة,علمية,تونس,71901075,71908667
الجمعية التونسية للمقيمين في طب النساء والتوليد,علمية,تونس,,
الجمعية التونسية للأقطاب التكنولوجية,علمية,تونس,,
الجمعية التونسية للمكلفين بالإعلام والإتصال,علمية,تونس,71804056,0
الجمعية التونسية للاستشفاء الطبيعي,علمية,تونس,0,0
الجمعية التونسية للانشائية والجمالية,علمية,تونس,,
الجمعية التونسية للاقتصاد الاسلامي باردو,علمية,تونس,70830641,0
الجمعية التونسية للذكاء الإستراتيجي,علمية,تونس,71588423,71588587
الجمعية التونسية للباحثين الشبان في الإسبانية,علمية,تونس,,
الجمعية التونسية للباحثين الشبان في القانون,علمية,تونس,0,0
الجمعية التونسية للباحثين والقراء بدار الكتب الوطنية,علمية,تونس,,
الجمعية التونسية للتاريخ والآثار,علمية,تونس,0,0
الجمعية التونسية للتاريخ والتربية على المواطنة,علمية,تونس,,
الجمعية التونسية للتبادل المعلوماتي للمعطيات,علمية,تونس,,
الجمعية التونسية للتبادل الحر للأنترنات,علمية,تونس,,
الجمعية التونسية للتحليل المالي,علمية,تونس,0,0
الجمعية التونسية للتحليل التقني,علمية,تونس,,
الجمعية التونسية للبحث العلمي من أجل التنمية,علمية,تونس,98349459,71348524
الجمعية التونسية للبحث العلمي في المخاطر المالية,علمية,تونس,71600615,71601311
الجمعية التونسية للبحث في المرض الوجداني الثناقطبي,علمية,تونس,0,0
الجمعية التونسية للبحث في الجراحة الباطنية للأطفال,علمية,تونس,0,0
الجمعية التونسية للبحث والعلاج النفسي العائلي والزوجي,علمية,تونس,,
الجمعية التونسية للتدخل النفسي البيداغوجي,علمية,تونس,0,0
الجمعية التونسية للبيداغوجيا الجامعية,علمية,تونس,0,0
الجمعية التونسية للتخدير والأنعاش,علمية,تونس,71664004,71663915
الجمعية التونسية للتحسيس بالتبرع بالأعضاء,علمية,تونس,71965432,71965364
الجمعية التونسية للبحوث عند المرأة ما بعد الخصوبة,علمية,تونس,98469295,
الجمعية التونسية للبحوث في الأنوار,علمية,تونس,0,0
الجمعية التونسية للبحوث في التعليم,علمية,تونس,71588318,71588318
الجمعية التونسية للبحوث والدراسات في مجال المهن والمبادرة الخاصة,علمية,تونس,,
الجمعية التونسية للبحوث والدراسات في ميدان طب الشيخوخة,علمية,تونس,,
الجمعية التونسية للبيوتكنولوجيا,علمية,تونس,,
الجمعية التونسية للبيوفيزياء والمصورات الطبية,علمية,تونس,,
الجمعية التونسية للتحكم في موارد المياه والبيئة,علمية,تونس,22779407,71793529
الجمعية التونسية للبرمجة اللغوية العصبية - تفاؤل,علمية,تونس,,
الجمعية التونسية للبرمجيات الحرة,علمية,تونس,0,0
الجمعية التونسية للتربية المدنية,علمية,تونس,98219894,0
الجمعية التونسية للتربية والتفكير الإسلامي,علمية,تونس,,
الجمعية التونسية للتربية والثقافة والعلوم,علمية,تونس,,
الجمعية التونسية للترجمة,علمية,تونس,97666511,
الجمعية التونسية للتسيير الرياضي,علمية,تونس,,
الجمعية التونسية للتشخيص بالأشعة,علمية,تونس,,
الجمعية التونسية للبصريات,علمية,تونس,71882200,71871666
الجمعية التونسية للتصرف المالي,علمية,تونس,0,0
الجمعية التونسية للتصرف في التزويد والشراءات,علمية,تونس,,
الجمعية التونسية لمتصرفي معلومات الطيران,علمية,تونس,,
الجمعية التونسية لمتصرفي المؤسسات الجامعية,علمية,تونس,98561717,71941170
الجمعية التونسية للتسويق,علمية,تونس,71881256,0
الجمعية التونسية للتعلم عن بعد,علمية,تونس,71891731,71892625
الجمعية التونسية للتغيرات المناخية والتنمية المستديمة,علمية,تونس,97409659,0
الجمعية التونسية للتعقيم الإختيباري,علمية,تونس,,
الجمعية التونسية للتفكير التجاوزي,علمية,تونس,0,0
الجمعية التونسية للتوأم,علمية,تونس,,
الجمعية التونسية للتطبيب الحيوي,علمية,تونس,,
الجمعية التونسية للتطبيب عن بعد والصحة الإلكترونية,علمية,تونس,0,0
الجمعية التونسية للتطوير في علوم وتقنيات الفضاء,علمية,تونس,,
الجمعية التونسية للثقافة الرقمية بتونس,علمية,تونس,0,0
الجمعية التونسية للثقافة الرقمية رادس المدينة,علمية,تونس,98436770,71791433
الجمعية التونسية للتقنيات الرقمية والأتوماتيك,علمية,تونس,0,0
الجمعية التونسية للتكوين المستمر في الحساسية,علمية,تونس,,
الجمعية التونسية للتكنولوجيا الدقيقة في مجال البيئة,علمية,تونس,0,0
الجمعية التونسية للحماية من الأشعة والأمان النووي,علمية,تونس,97770091,
الجمعية التونسية للداء العدائي,علمية,تونس,71782848,0
الجمعية التونسية للخدمات الكونية في الاتصالات,علمية,تونس,71797903,71960062
الجمعية التونسية للخدمات عن بعد,علمية,تونس,71343302,71343302
الجمعية التونسية للخدمة الإجتماعية,علمية,تونس,0,0
الجمعية التونسية للدياليز المنزه 1 تونس,علمية,تونس,98349429,0
الجمعية التونسية للجيوماتيك,علمية,تونس,,
الجمعية التونسية للجراحة,علمية,تونس,71562653,71562653
الجمعية التونسية للجراحة الإيضية والبدانة,علمية,تونس,0,0
الجمعية التونسية للجراحة بالمنظار,علمية,تونس,0,0
الجمعية التونسية للجراحة بالمنظار وجراحة الإصابات الرياضية,علمية,تونس,0,0
الجمعية التونسية للدراسات المتعلقة بالقرن الثامن عشر,علمية,تونس,,
الجمعية التونسية للدراسات اللسانية التطبيقية,علمية,تونس,,
الجمعية التونسية للدراسات الأندلسية,علمية,تونس,0,0
الجمعية التونسية للدراسات الأورومتوسطية,علمية,تونس,0,0
الجمعية التونسية للدراسات الأنقلوسكسونية,علمية,تونس,0,0
الجمعية التونسية للدراسات التاريخية والبحوث الإجتماعية,علمية,تونس,0,0
الجمعية التونسية للدراسات التعليمية,علمية,تونس,,
الجمعية التونسية للدراسات الديبلوماسية,علمية,تونس,0,0
الجمعية التونسية للدراسات الدولية,علمية,تونس,71901683,71906793
الجمعية التونسية للدراسات الدولية للجيولوجيا,علمية,تونس,71872600,71871666
الجمعية التونسية للدراسات السياسية,علمية,تونس,,
الجمعية التونسية للدراسات الصوفية,علمية,تونس,71564797,71567551
الجمعية التونسية للدراسات السكانية,علمية,تونس,98332702,0
الجمعية التونسية للدراسات العلمية حول السكان والهجرة والصحة,علمية,تونس,,
الجمعية التونسية للدراسات العالمية في علوم جيولوجيا الرسوبيات,علمية,تونس,0,0
الجمعية التونسية للدراسات الفلسفية,علمية,تونس,,
الجمعية التونسية للدراسات الإنقلوساكسونية,علمية,تونس,,
الجمعية التونسية للدراسات حول القرن السابع عشر,علمية,تونس,,
الجمعية التونسية للدراسات والبحوث الجنسية والخلل الجنسي,علمية,تونس,0,0
الجمعية التونسية للدراسات والبحوث العمرانية,علمية,تونس,,
الجمعية التونسية للدراسات والبحوث حول التراث الفكري التونسي,علمية,تونس,71571255,71571255
الجمعية التونسية للدراسات والبحوث حول تصلب الشرايين,علمية,تونس,71578965,
الجمعية التونسية للدراسات والبحوث في زرع الأسنان,علمية,تونس,0,0
الجمعية التونسية للدراسة البيئية للأحياء الدقيقة بتونس,علمية,تونس,71872600,71871666
الجمعية التونسية للدراسة والبحث لجهاز الحركة,علمية,تونس,71562818,71564294
الجمعية التونسية للدراسة والبحث في الزراعة,علمية,تونس,73219492,0
الجمعية التونسية للدرسات التعلمية,علمية,تونس,0,0
الجمعية التونسية للجودة,علمية,تونس,,
الجمعية التونسية للحوسبة السحابية,علمية,تونس,,
الجمعية التونسية للحوكمة المحلية,علمية,تونس,71576101,0
الجمعية التونسية للحكم الرشيد,علمية,تونس,23166600,71336773
الجمعية التونسية للدكاترة المهندسين تونس,علمية,تونس,0,0
الجمعية التونسية لميكانيك الصخور,علمية,تونس,20323289,71871476
الجمعية التونسية لمراقبة الخصوبة ومعالجة العقم,علمية,تونس,,
الجمعية التونسية لمراقبي التصرف والمسؤولين الماليين,علمية,تونس,98223457,
"الجمعية التونسية لمرض ""شاركو"" وأمراض الخلية العصبية الحركية",علمية,تونس,,
الجمعية التونسية لمرضى التصلب اللوحوي المتعدد,علمية,تونس,71862445,71862445
الجمعية التونسية لمرضى الوهن العضلي وأمراض المناعة الذاتية الأخرى للجهاز العصبي,علمية,تونس,,
الجمعية التونسية للسلامة الرقمية,علمية,تونس,0,0
الجمعية التونسية للصحة الذهنية,علمية,تونس,,
الجمعية التونسية للصحة الغذائية,علمية,تونس,,
الجمعية التونسية للصحة النفسية من أجل حياة أفضل,علمية,تونس,71749985,71749985
الجمعية التونسية للصحة النفسية والتواصل الإجتماعي,علمية,تونس,,
الجمعية التونسية للصيدلة الصناعية,علمية,تونس,,
الجمعية التونسية للصيدلية الإستشفائية,علمية,تونس,71795802,71790847
الجمعية التونسية للشفافية في الطاقة والمناجم,علمية,تونس,27598234,0
الجمعية التونسية للعلاج اليدوي,علمية,تونس,,
الجمعية التونسية للعلاج الوظيفي,علمية,تونس,0,0
الجمعية التونسية للعلاج النفسي والجسماني,علمية,تونس,,
الجمعية التونسية للعلوم,علمية,تونس,,
الجمعية التونسية للعلوم البيولوجية,علمية,تونس,71730548,71885480
الجمعية التونسية للعلوم السياسية,علمية,تونس,71743601,71743601
الجمعية التونسية للعلوم السياسية والإجتماعية,علمية,تونس,71871828,71872617
الجمعية التونسية للعلوم الإدارية,علمية,تونس,71753892,71717255
الجمعية التونسية للعلوم الطبية,علمية,تونس,71796602,71796602
الجمعية التونسية للعلوم والمعارف,علمية,تونس,,
الجمعية التونسية للعلوم والتقنيات النووية,علمية,تونس,0,0
الجمعية التونسية للعلوم والتكنولوجيا,علمية,تونس,0,0
الجمعية التونسية لمعاقي الجهاز الهضمي والبولي,علمية,تونس,0,0
الجمعية التونسية للفنيين السامين والمجازين في الجراحة,علمية,تونس,,
الجمعية التونسية للفنيين في الأشعة,علمية,تونس,71577805,
الجمعية التونسية للفنون المرئية,علمية,تونس,71898447,71898432
الجمعية التونسية للفضاء وأنظمة الدفع,علمية,تونس,,
الجمعية التونسية للإتصال الإجتماعي,علمية,تونس,,
الجمعية التونسية للإتصال وعلوم الفضاء,علمية,تونس,26365593,
الجمعية التونسية للإبستيمولوجيا وتعلميات وتاريخ العلوم التقنية,علمية,تونس,0,0
الجمعية التونسية للهيموفيليا,علمية,تونس,98584080,0
الجمعية التونسية للإدارة المشاريع,علمية,تونس,,
الجمعية التونسية للهيدروجيولوجيا والمواد المائية,علمية,تونس,,
الجمعية التونسية للإخصائيين في العلاج الطبيعي,علمية,تونس,98435141,0
الجمعية التونسية للإرشاد والتوجيه الجغرافي الرقمي,علمية,تونس,,
الجمعية التونسية للإرشاد والتوجيه حول السيدا والإدمان,علمية,تونس,71957544,71957511
الجمعية التونسية للإستشراف واليقظة الإستراتيجية,علمية,تونس,98431843,71892625
الجمعية التونسية للإستشعار عن بعد وعلوم الخرائط,علمية,تونس,,
الجمعية التونسية للإستقلال الصناعي والعودة للعمل المعروفة,علمية,تونس,,
الجمعية التونسية للإعلام الجغرافي الرقمي,علمية,تونس,71245692,71341814
الجمعية التونسية للإعلام والتوجيه المدرسي والجامعي والمهني,علمية,تونس,22565748,
الجمعية التونسية للإعلامية ميتوال فيل تونس,علمية,تونس,0,0
الجمعية التونسية للإعلامية الطبية,علمية,تونس,0,0
الجمعية التونسية للإعجاز العلمي في القرآن الكريم,علمية,تونس,55867099,
الجمعية التونسية للهندسة البيوطبية,علمية,تونس,23926409,
الجمعية التونسية لمهندسي الكيمياء,علمية,تونس,,
الجمعية التونسية لمهندسي ومصممي الفضاءات,علمية,تونس,98901586,
الجمعية التونسية للإنشاءات و الجماليات,علمية,تونس,0,0
الجمعية التونسية للإقتصاد المعولم,علمية,تونس,,
الجمعية التونسية للإكتشاف والإستكشاف,علمية,تونس,,
الجمعية التونسية للنجاعة الطاقية في البناءات,علمية,تونس,,
الجمعية التونسية للوجيستيك,علمية,تونس,,71962516
الجمعية التونسية للوخز بالإبر والطب الصيني,علمية,تونس,0,0
الجمعية التونسية للنفط والغاز,علمية,تونس,,
الجمعية التونسية للنهوض بالآلات المقومة للأعضاء,علمية,تونس,,
الجمعية التونسية للنهوض بالبحث في الصحة,علمية,تونس,71561321,71571441
الجمعية التونسية للنهوض بالبيداغوجية الطبية,علمية,تونس,,
الجمعية التونسية للنهوض بالتكوين الطبي المستمر,علمية,تونس,,
الجمعية التونسية للنهوض بالروبوتيك,علمية,تونس,0,0
الجمعية التونسية للنهوض بالإختراع والتجديد,علمية,تونس,,
الجمعية التونسية للنهوض بالإسعاف داخل المؤسسات,علمية,تونس,71569224,71354742
الجمعية التونسية للوقاية من أمراض أسنان الأطفال,علمية,تونس,98265500,71570827
الجمعية التونسية للوقاية من الإشعاعات المؤينة وغير المؤينة,علمية,تونس,,
الجمعية التونسية للوقاية الإيجابية,علمية,تونس,0,0
الجمعية التونسية للطاقات المتجددة بتونس,علمية,تونس,,
الجمعية التونسية للطب المثلي,علمية,تونس,0,0
الجمعية التونسية للطب الباطني,علمية,تونس,71493812,71493812
الجمعية التونسية للطب التجميلي,علمية,تونس,71238184,71230682
الجمعية التونسية للطب العام,علمية,تونس,0,0
الجمعية التونسية للطب الإستعجالي,علمية,تونس,,
الجمعية التونسية للطب النفسي,علمية,تونس,0,0
الجمعية التونسية للطب النووي,علمية,تونس,0,0
الجمعية التونسية لأطباء الأسنان,علمية,تونس,,
الجمعية التونسية لأطباء الأعصاب في القطاع الخاص المرسى,علمية,تونس,,
الجمعية التونسية لأطباء الجلدة,علمية,تونس,,
الجمعية التونسية لأطباء القلب والشرايين للممارسة الحرة بتونس الكبرى,علمية,تونس,,
الجمعية التونسية للطيران,علمية,تونس,98562257,0
الجمعية التونسية للطيران الإفتراضي,علمية,تونس,,
الجمعية التونسية للطيران والثقافة الجوية,علمية,تونس,22915191,
الجمعية التونسية للطرق الكمية في علوم التصرف,علمية,تونس,0,0
الجمعية التونسية لمقاومة الأمراض المزمنة,علمية,تونس,98375694,71874835
الجمعية التونسية لمقاومة الأمراض التناسلية والسيدا اريانة,علمية,تونس,71866587,71866588
الجمعية التونسية للقانون الأساسي,علمية,تونس,,
الجمعية التونسية للقانون البحري,علمية,تونس,0,0
الجمعية التونسية للقانون البنكي والأعمال,علمية,تونس,,
الجمعية التونسية للقانون العقاري,علمية,تونس,,
الجمعية التونسية للقانون الإجتماعي,علمية,تونس,,
الجمعية التونسية لمقيمي الطب الباطني,علمية,تونس,0,0
الجمعية التونسية لمكافحة أمراض فقر الدم الوراثي وفقدن المناعة الخلقي لدى الأطفال فرحة الحياة,علمية,تونس,0,0
الجمعية التونسية لمكافحة مرض السرطان بتونس,علمية,تونس,71561184,71573642
الجمعية التونسية لمكافحة مرض الصرع باردو,علمية,تونس,,
الجمعية التونسية لمكافحة مرضى الصرع,علمية,تونس,0,0
الجمعية التونسية للكيمياء النظرية,علمية,تونس,0,0
الجمعية التونسية لذكاء الأعمال,علمية,تونس,71588423,71898432
الجمعية التونسية لتاريخ الطب والصيدلة,علمية,تونس,,
الجمعية التونسية لتحلية المياه,علمية,تونس,71871282,71871282
الجمعية التونسية لبيداغوجيا اللغة الفرنسية,علمية,تونس,24449854,0
الجمعية التونسية لبيداغوجيا التربية,علمية,تونس,21635530,
الجمعية التونسية لبيداغوجية اللغات والفرنكوفونية,علمية,تونس,,
الجمعية التونسية لتدريب الصحافيين المحترفين,علمية,تونس,,
الجمعية التونسية لتخصصات طب الأسنان,علمية,تونس,,
الجمعية التونسية لبيولوجيا الإنجاب,علمية,تونس,,
الجمعية التونسية لتربية الحمام الأصيل,علمية,تونس,98654054,
الجمعية التونسية لتشخيص بالأمواج فوق الصوتية,علمية,تونس,,
الجمعية التونسية لتشريح المرضى وعلم الخلايا,علمية,تونس,,
الجمعية التونسية لتصفية الدم تونس,علمية,تونس,0,0
الجمعية التونسية لتعلم وتعليم اللغة الأنقليزية,علمية,تونس,0,0
الجمعية التونسية لتعليمية علوم حياة والأرض,علمية,تونس,0,0
الجمعية التونسية لتنمية الأتوماتيك,علمية,تونس,98596918,
الجمعية التونسية لتنمية التعليم التقني,علمية,تونس,,
الجمعية التونسية لتنمية التكنولوجيات الرقمية و الموارد البشرية,علمية,تونس,71601350,71602211
الجمعية التونسية لتنمية العلوم العصبية,علمية,تونس,71564421,71565167
الجمعية التونسية لتنمية العلوم والتكنولوجيا والتجديد,علمية,تونس,71874700,
الجمعية التونسية لتنمية علوم الأعصاب,علمية,تونس,71565167,71565167
الجمعية التونسية لتطابق علم الأسنان,علمية,تونس,0,0
الجمعية التونسية لتطوير المعلومات التجارية والتقنية,علمية,تونس,0,0
الجمعية التونسية لتطوير التحليل النفسي,علمية,تونس,,
الجمعية التونسية لتطوير البحث العلمي,علمية,تونس,93888469,
الجمعية التونسية لتطوير التعليم التقني تونس,علمية,تونس,,
الجمعية التونسية لتطوير طب التبنيج تونس,علمية,تونس,0,0
الجمعية التونسية لثقافة المبادرة تونس,علمية,تونس,71873366,71872055
الجمعية التونسية لتقويم الأسنان الوقائي والإعتراضي,علمية,تونس,98545663,
الجمعية التونسية لتقنيات الإتصالات,علمية,تونس,71571844,71571844
الجمعية التونسية لتكنولوجيا التعليم,علمية,تونس,,
الجمعية التونسية لحلقات الجودة,علمية,تونس,0,0
الجمعية التونسية لداء المفاصل,علمية,تونس,98551368,71560432
الجمعية التونسية لديداكتيك الرياضيات,علمية,تونس,0,0
الجمعية التونسية لجراحة الأطفال,علمية,تونس,71571492,71571492
الجمعية التونسية لجراحة التجميل,علمية,تونس,0,0
الجمعية التونسية لجراحة الجهاز العصبي,علمية,تونس,0,0
الجمعية التونسية لجراحة الصدر والقلب والأوعية الدموية,علمية,تونس,,
الجمعية التونسية لجراحة العظام وتقويم الأعضاء,علمية,تونس,,
الجمعية التونسية لجراحة الفتق,علمية,تونس,0,0
الجمعية التونسية لجراحة الكلى والمسالك البولية,علمية,تونس,,
الجمعية التونسية لجراحة وتقويم وتجميل الوجه والعنق,علمية,تونس,,
الجمعية التونسية لدراسة الألم,علمية,تونس,,
الجمعية التونسية لدراسة الأمراض الأيضية الوراثية,علمية,تونس,71578923,71572470
الجمعية التونسية لدراسة الموارد المعدنية تونس,علمية,تونس,,
الجمعية التونسية لدراسة الخثار و الأرقاء,علمية,تونس,0,0
الجمعية التونسية لدراسة الزمن الرابع,علمية,تونس,71564849,71564849
الجمعية التونسية لدعم الطاقات الناشئة والمربين,علمية,تونس,0,0
الجمعية التونسية لجودة التعليم والتكوين أديكا,علمية,تونس,0,0
الجمعية التونسية لحقوق الملكية الفكرية الصناعية,علمية,تونس,71574581,71574640
الجمعية التونسية لصيادلة المستشفيات,علمية,تونس,71795722,71790847
الجمعية التونسية لزرع السنان وأمراض اللثة,علمية,تونس,71341304,71330832
الجمعية التونسية لزرع وجمالية الأسنان,علمية,تونس,0,0
الجمعية التونسية لصعوبات التعلم,علمية,تونس,,
الجمعية التونسية لسن اليأس,علمية,تونس,,
الجمعية التونسية لعلم الفيزياء,علمية,تونس,71885008,71558073
الجمعية التونسية لعلم الأمراض النفسية و العقلية,علمية,تونس,0,0
الجمعية التونسية لعلم الأثار,علمية,تونس,0,0
الجمعية التونسية لعلم المناخ,علمية,تونس,0,0
الجمعية التونسية لعلم المناعة,علمية,تونس,71843755,71791833
الجمعية التونسية لعلم الإجتماع,علمية,تونس,71720044,
الجمعية التونسية لعلم الهندسة المعمارية,علمية,تونس,0,0
الجمعية التونسية لعلم النفس,علمية,تونس,71561439,
الجمعية التونسية لعلم الطيور,علمية,تونس,,
الجمعية التونسية لعلم نفس الصحة,علمية,تونس,0,0
الجمعية التونسية لعلوم المياه المعدنية والمناخية,علمية,تونس,,
الجمعية التونسية لعلوم المعطيات,علمية,تونس,0,0
الجمعية التونسية لعلوم الأوبئة والطب الوقائي,علمية,تونس,71787414,71795889
الجمعية التونسية لعلوم البحار,علمية,تونس,71730420,71732622
الجمعية التونسية لعلوم البيئة وحماية المحيط,علمية,تونس,22513464,
الجمعية التونسية لعلوم التربية,علمية,تونس,,
الجمعية التونسية لعلوم البستنة,علمية,تونس,,
الجمعية التونسية لعلوم التغذية,علمية,تونس,71578634,71564481
الجمعية التونسية لعلوم الجلطة الدماغية,علمية,تونس,71491227,71491227
الجمعية التونسية لعلوم الدواء,علمية,تونس,,
الجمعية التونسية لعلوم امراض الأذنين و الأنف والحنجرة,علمية,تونس,0,0
الجمعية التونسية لعلوم امراض الذكورة,علمية,تونس,,
الجمعية التونسية لعلوم الصيدلية,علمية,تونس,71795722,71790847
الجمعية التونسية لعلوم الشغل,علمية,تونس,24806802,71952565
الجمعية التونسية لعلوم الفلك,علمية,تونس,97731886,0
الجمعية التونسية لعلوم الكيس المائي,علمية,تونس,0,0
الجمعية التونسية لعدول الخزينة,علمية,تونس,0,0
الجمعية التونسية لفني ومهندسي السلامة المهنية تونس,علمية,تونس,,
الجمعية التونسية لفنيي الغابات,علمية,تونس,0,0
الجمعية التونسية لفنيي النفط,علمية,تونس,,
الجمعية التونسية لفنيي صناعات الجلد تونس,علمية,تونس,,
الجمعية التونسية لإتحاد الإخصائيين النفسيين الحركيين,علمية,تونس,97505848,0
الجمعية التونسية لإتحاد الكفاءات وعلم المعلومات,علمية,تونس,93471208,
الجمعية التونسية لإختبار البرمجيات,علمية,تونس,,
الجمعية التونسية لهواية اللاسلكي,علمية,تونس,22429468,
الجمعية التونسية لهندسة الوقاية من الزلازل,علمية,تونس,71399774,71399774
الجمعية التونسية لطاقة الرياح,علمية,تونس,,
الجمعية التونسية لطب أشعة وجراحة الفم,علمية,تونس,0,0
الجمعية التونسية لطب أعصاب الأطفال والمراهقين,علمية,تونس,,
الجمعية التونسية لطب الأطفال,علمية,تونس,71563626,0
الجمعية التونسية لطب الأطفال حديثي الولادة,علمية,تونس,,
الجمعية التونسية لطب الأطفال وأمراض الجهاز الهضمي,علمية,تونس,71842087,71842087
الجمعية التونسية لطب التوازن,علمية,تونس,0,0
الجمعية التونسية لطب الجنين,علمية,تونس,,
الجمعية التونسية لطب الرياضة تونس,علمية,تونس,,
الجمعية التونسية لطب الرياضي تونس البلفيدير,علمية,تونس,,
الجمعية التونسية لطب الشغل,علمية,تونس,,
الجمعية التونسية لطب الغدد الصماء,علمية,تونس,0,0
الجمعية التونسية لطب العيون,علمية,تونس,0,0
