pres,leg,plus70,61_70,51_60,41_50,31_40,22_30,18_21,men,women,center,deleg,circ
61.15,70.08,8.4,10.89,14.83,17.98,26.12,19.42,2.36,56.96,43.04,م إبتدائية سيدي مذكور - الهوارية القبلية,الهوارية القبلية,Nabeul 1
56.44,65.75,7.97,10.44,9.62,19.78,30.5,17.03,4.67,60.55,39.45,م إبتدائية الكدوة - الهوارية القبلية,الهوارية القبلية,Nabeul 1
58.98,63.46,5.66,9.7,13.99,22.7,27.24,18.91,1.8,52.14,47.86,م إبتدائية صاحب الجبل - صاحب الجبل الجوفية,صاحب الجبل الجوفية ,Nabeul 1
48.61,53.32,6.21,8.35,17.77,24.2,20.56,17.77,5.14,55.25,44.75,م إبتدائية برج الصالحي - صاحب الجبل الجوفية,صاحب الجبل الجوفية ,Nabeul 1
68.02,68.47,10.81,7.88,14.19,21.17,22.97,19.6,3.38,62.16,37.84,م إبتدائية منزل سالم - صاحب الجبل الجوفية,صاحب الجبل الجوفية ,Nabeul 1
60.78,63.96,8.48,9.89,15.55,21.73,18.73,20.85,4.77,56.89,43.11,م إبتدائية هنشير غرمان - صاحب الجبل القبلية,صاحب الجبل القبلية,Nabeul 1
57.55,58.43,7.87,12.61,12.36,17.23,23.85,22.47,3.62,61.67,38.33,م إبتدائية ابان - صاحب الجبل القبلية,صاحب الجبل القبلية,Nabeul 1
43.7,45.38,8.07,9.41,11.09,22.69,21.01,22.69,5.04,59.33,40.67,م إبتدائية الغرفة - صاحب الجبل القبلية,صاحب الجبل القبلية,Nabeul 1
45.62,50.36,6.62,8.78,12.95,22.88,25.61,19.28,3.89,60.69,39.31,م إبتدائية بني خيرة صاحب الجبل - صاحب الجبل القبلية,صاحب الجبل القبلية,Nabeul 1
51.19,61.29,9.07,9.71,16.63,19.33,17.98,21.8,5.49,59.54,40.46,م إبتدائية بوكريم الشابي,بوكريم,Nabeul 1
58.42,67.66,10.56,11.22,20.79,19.8,16.5,18.48,2.64,57.76,42.24,م إبتدائية 14 جانفي بوكريم 2 - بوكريم,بوكريم,Nabeul 1
62.22,70.56,10.56,11.11,13.61,21.94,22.78,15,5,56.67,43.33,م إبتدائية تازغران - تزغران الشرقية,تزغران الشرقية,Nabeul 1
49.32,66.36,10,8.64,14.09,18.86,22.27,20.68,5.46,61.14,38.86,م إبتدائية سيدي حسون - تازغران الغربية,تزغران الغربية,Nabeul 1
65.1,68.81,6.44,6.93,16.83,20.05,25.99,21.29,2.48,52.72,47.28,م إبتدائية الزقاق - تازغران الغربية,تزغران الغربية,Nabeul 1
56.77,65.38,8.6,12.04,13.76,21.94,21.29,18.93,3.44,53.76,46.24,م إبتدائية الحزايــزية - تازغران الغربية,تزغران الغربية,Nabeul 1
60.3,67.59,6.8,13.35,13.85,17.63,23.68,19.9,4.79,54.52,45.48,م إبتدائية بوحبيب - تازغران الغربية,تزغران الغربية,Nabeul 1
61.76,69.28,5.66,10.38,15.41,16.98,25.47,21.38,4.72,52.98,47.02,م إبتدائية النشع - تازغران الغربية,تزغران الغربية,Nabeul 1
66.19,72.32,9.84,9.75,16.61,20.22,19.68,18.95,4.96,56.27,43.73,م إبتدائية زاوية المقايز ,زاوية المقايز,Nabeul 1
63.66,74.58,8.1,9.36,16.51,19.98,21.77,19.56,4.73,50.95,49.05,م إبتدائية بئر الجدي - زاوية المقايز,زاوية المقايز,Nabeul 1
47.54,60.34,10.13,11.25,12.1,16.46,24.75,21.66,3.66,53.59,46.41,م إبتدائية الكرمانية - زاوية المقايز,زاوية المقايز,Nabeul 1
74.01,79.87,5.69,8.08,16.83,21.14,24.3,19.46,4.5,52.42,47.58,م إبتدائية الشابي - بني خيار,بني خيار,Nabeul 1
76.01,80.53,7.44,9,16.22,23.2,22.45,17.29,4.41,48.51,51.49,م إبتدائية المنار - بني خيار,بني خيار,Nabeul 1
81.4,84.69,6.1,10.04,16.39,21.67,22.07,18.2,5.53,50.24,49.76,م إبتدائية الطاهر الحداد - بني خيار,بني خيار,Nabeul 1
74.64,79.71,3.42,8.59,19.26,22.05,21.02,20.29,5.38,48.24,51.76,م إبتدائية حشاد بني خيار ,بني خيار,Nabeul 1
70.29,77.69,4.74,8.39,19.35,20.83,22.01,21.62,3.06,57.45,42.55,م إبتدائية ديار أولاد سالم ,ديار بن سالم,Nabeul 1
80.86,88.55,7.47,8.96,14.74,19.99,23.85,19.83,5.17,52.68,47.32,م إبتدائية ابن سينا المعمورة ,المعمورة,Nabeul 1
82.56,89.21,8.72,7.72,13.99,22.33,24.03,18.76,4.45,51.32,48.68,م إبتدائية الرياض المعمورة ,المعمورة,Nabeul 1
75.17,82.39,6.31,7.31,16.94,22.53,21.81,19.18,5.91,52.53,47.47,م إبتدائية الاستقلال الصمعة ,الصمعة,Nabeul 1
71.25,79.81,8.06,8.43,14.58,25.2,20.88,18.24,4.62,50.62,49.38,م إبتدائية سيدي علي الصمعي الصمعة ,الصمعة,Nabeul 1
60.37,72.59,6.25,9.09,14.92,17.33,26.85,21.88,3.69,54.4,45.6,م إبتدائية الطيب المهيري غرداية - الحلفاء,حلفاء,Nabeul 1
60.9,72.1,6.88,8.64,15.13,18.66,27.9,20.04,2.75,61.89,38.11,م إبتدائية الحلفاء ,حلفاء,Nabeul 1
67.41,73.92,6.76,8.4,16.53,20.13,21.19,22.26,4.73,50.93,49.07,م إبتدائية حمام الغزاز ,حمام الغزاز,Nabeul 1
54.93,72.96,4.79,8.73,14.37,22.54,22.54,21.13,5.92,59.15,40.85,م إبتدائية حمام الجبلي - حمام الغزاز,حمام الغزاز,Nabeul 1
60.36,70.87,8.41,13.21,10.81,19.22,23.72,19.82,4.81,57.96,42.04,م إبتدائية كركوان - حمام الغزاز,حمام الغزاز,Nabeul 1
62.26,71.37,7.39,10,18.26,20.87,20.65,18.91,3.91,47.07,52.93,م إبتدائية الامل - حمام الغزاز,حمام الغزاز,Nabeul 1
55.43,65.22,11.96,10.87,15.22,23.91,14.13,19.57,4.35,58.7,41.3,م إبتدائية الانطلاقة - حمام الغزاز,حمام الغزاز,Nabeul 1
65.67,72.58,6.82,8.9,15.87,20.37,23.32,21.05,3.68,56.19,43.81,م إبتدائية دار علوش ,دار علوش,Nabeul 1
58.56,68.51,7.37,7.55,12.89,21.55,27.07,19.15,4.42,66.3,33.7,م إبتدائية دار دبوس الرياض - حارة الشعراء,حارة الشعراء,Nabeul 1
66.43,69.25,7.75,10.56,14.55,21.36,22.07,20.66,3.05,60.8,39.2,م إبتدائية حارة الشعراء ,حارة الشعراء,Nabeul 1
41.92,53.37,11.27,8.2,16.6,21.11,21.93,15.98,4.92,53.58,46.42,م إبتدائية 14 جانفي - وزدرة,وزدرة,Nabeul 1
75.5,80.57,5.31,7.6,15.58,22.46,21.54,22.98,4.53,46.82,53.18,م إبتدائية الهادي شاكر - دار شعبان,دار شعبان,Nabeul 1
77.07,83.87,5.78,7.78,17.64,22.93,21.73,18.87,5.26,50.89,49.11,م إبتدائية الهلالية - دار شعبان,دار شعبان,Nabeul 1
68.02,74.47,3.74,8.97,20.72,19.74,22.56,20.82,3.44,51.67,48.33,م إبتدائية حي النزهة - دار شعبان,دار شعبان,Nabeul 1
79.4,83.37,7.72,9.13,16.76,22.56,21.54,17.34,4.95,51.09,48.91,م إبتدائية الصادق الغضبان - الفهري,الفهري,Nabeul 1
78.23,84.51,5.3,7.39,16.59,22.02,23.44,20.28,4.99,50.97,49.03,م إبتدائية طارق ابن زياد - الفهري,الفهري,Nabeul 1
75.24,81.13,6.37,7.21,16.47,22.48,20.07,20.55,6.85,49.4,50.6,م إبتدائية محمد صالح الغضبان - الفهري,الفهري,Nabeul 1
81.64,85.71,2.23,7.87,19.41,19.01,19.18,24.75,7.56,49.54,50.46,م إبتدائية النجاح 14 جانفي - الفهري,الفهري,Nabeul 1
63.36,69.86,4.7,8.14,16.82,21.16,20.98,24.96,3.26,66.97,33.03,م إبتدائية الفرينين ,الفرينين,Nabeul 1
61.74,74.34,6.39,9.35,12.31,21.65,23.68,23.05,3.58,62.99,37.01,م إبتدائية بيوب خميس الحجري - الفرينين,الفرينين,Nabeul 1
42.02,52.1,7.98,7.14,14.29,26.47,17.65,23.11,3.36,61.34,38.66,م إبتدائية هنشير عمرون ,عمرون,Nabeul 1
70.85,82.41,3.02,7.54,11.06,20.1,28.64,27.64,2.01,73.37,26.63,م إبتدائية البطين - عمرون,عمرون,Nabeul 1
58.02,76.34,7.69,5.39,17.69,19.23,29.23,19.23,1.54,63.36,36.64,م إبتدائية زامو - عمرون,عمرون,Nabeul 1
56.56,68.03,5.74,8.2,9.02,28.69,27.05,16.39,4.92,63.93,36.07,م إبتدائية الاثلاث - بني عياش,بني عياش,Nabeul 1
67.39,73.26,8.04,7.57,14.07,20.09,23.96,22.1,4.17,57.34,42.66,م إبتدائية بني عياش ,بني عياش,Nabeul 1
49.02,61.57,8.63,9.41,9.8,20.78,25.49,22.75,3.14,62.75,37.25,م إبتدائية القصبات - بني عياش,بني عياش,Nabeul 1
63.22,73.73,9.02,11.47,14.8,21.98,22.68,17.43,2.63,54.03,45.97,م إبتدائية قرعة ساسي,قرعة ساسي,Nabeul 1
64.38,75.16,8.17,5.88,16.34,24.84,22.22,18.63,3.92,57.52,42.48,م إبتدائية بلياس قربة - قرعة ساسي,قرعة ساسي,Nabeul 1
62.18,68.38,5.93,9.52,15.18,21.97,24.17,19.97,3.26,53.93,46.07,م إبتدائية ديار الحجاج ,ديار الحجاج,Nabeul 1
59.49,69.68,6.25,10.65,16.44,17.13,21.99,24.77,2.78,54.86,45.14,م إبتدائية قصر سعد - ديار الحجاج,ديار الحجاج,Nabeul 1
78.14,80.23,4.13,9.81,17.63,23.46,21.37,19.62,3.98,53.88,46.12,م إبتدائية التطبيقية بورقيبة - قربة الشرقية,قربة الشرقية,Nabeul 1
77.97,80.47,4.9,10.49,18.43,22.58,20.03,18.93,4.65,54.57,45.43,م إبتدائية ساحة السوق - قربة الشرقية,قربة الشرقية,Nabeul 1
74.39,76.23,5.55,8.26,18.54,23.92,21.24,18.57,3.93,56.2,43.8,م إبتدائية الأخلاق - قربة الشرقية,قربة الشرقية,Nabeul 1
77.14,79.13,5.68,9.51,20.22,20.94,19.91,18.89,4.85,53.07,46.93,م إبتدائية التطبيقية الشابي بقربة - قربة الشرقية,قربة الشرقية,Nabeul 1
71.15,73.53,8.85,11.36,20.5,26.37,15.01,16.07,1.83,55.19,44.81,م إبتدائية السعادة - قربة الشرقية,قربة الشرقية,Nabeul 1
70.64,73.91,6.05,9.16,16.24,22.21,26.12,17.12,3.11,58.95,41.05,م إبتدائية بني عيشون - قربة الغربية,قربة الغربية,Nabeul 1
61.78,67.24,2.87,9.2,19.83,20.98,22.7,21.84,2.59,52.87,47.13,م إبتدائية الحي الصناعي - قربة الغربية,قربة الغربية,Nabeul 1
66.8,71.03,4.64,7.96,22.38,25.5,18.35,17.64,3.53,51.01,48.99,م إبتدائية حي الجربي - قربة الغربية,قربة الغربية,Nabeul 1
79.02,83.57,4.88,9.8,17.43,19.2,22.9,20.09,5.7,51.72,48.28,م إبتدائية شارع بورقيبة تازركة ,تازركة,Nabeul 1
76.61,81.85,8.13,8.68,17.36,22.94,18.99,19.04,4.86,49.71,50.29,م إبتدائية تازركة سيدي بلحسن - تازركة,تازركة,Nabeul 1
67.2,74.64,7.58,10.2,17.06,21.87,20.7,19.1,3.5,59.18,40.82,م إبتدائية بوجريدة ,بوجريدة,Nabeul 1
61.32,70.6,5.22,7.35,15.28,24.57,24.37,18.38,4.84,60.54,39.46,م إبتدائية قبة لاغا - بوجريدة,بوجريدة,Nabeul 1
71.17,74.77,17.12,7.21,14.41,22.52,18.92,14.41,5.41,70.27,29.73,م إبتدائية بني مشكال - بوجريدة,بوجريدة,Nabeul 1
64.66,70.49,7.83,8.38,13.3,20.77,24.96,20.77,4.01,58.65,41.35,م إبتدائية بوليدين ,بولدين,Nabeul 1
54.07,67.01,7.72,6.05,13.15,18.79,25.89,24.01,4.38,60.13,39.87,م إبتدائية بولزهار - بولدين,بولدين,Nabeul 1
56.82,65.5,5.79,9.3,17.36,21.69,22.93,21.07,1.86,58.06,41.94,م إبتدائية جبل الحداد - بولدين,بولدين,Nabeul 1
53.17,64.88,6.34,8.78,15.12,19.51,22.44,21.46,6.34,61.95,38.05,م إبتدائية خراز - بولدين,بولدين,Nabeul 1
55.52,65.37,10.43,9.68,12.76,23.65,20.86,18.34,4.28,55.8,44.2,م إبتدائية وادي الخطف ,وادي الخطف,Nabeul 1
50.76,64.07,10.08,8.94,13.31,21.48,24.72,16.35,5.13,57.79,42.21,م إبتدائية ملول,ملول,Nabeul 1
60.61,69.7,6.87,17.56,11.45,17.56,19.85,24.43,2.29,62.88,37.12,م إبتدائية النصر ملول ,ملول,Nabeul 1
64.17,70.34,6.1,9.71,16.92,22.54,20.67,19.63,4.44,56.48,43.52,م إبتدائية زاوية ازمور ,أزمور,Nabeul 1
52.97,63.78,10.33,5.98,13.04,26.09,21.2,20.65,2.72,56.76,43.24,م إبتدائية سيدي معاوية قليبية - أزمور,أزمور,Nabeul 1
41.76,60.54,4.62,10.39,16.15,19.23,20.77,24.62,4.23,62.45,37.55,م إبتدائية منزل ابراهيم - أزمور,أزمور,Nabeul 1
66.96,72.76,6.68,10.9,14.76,20.39,22.5,21.09,3.69,55.01,44.99,م إبتدائية البوشة - أزمور,أزمور,Nabeul 1
51.81,56.16,10.14,10.87,15.22,18.12,22.46,20.65,2.54,59.42,40.58,م إبتدائية منزل بلقاسم - أزمور,أزمور,Nabeul 1
71.85,75.94,5.78,8.6,16.5,22.38,23,19.15,4.6,53.49,46.51,م إبتدائية سيدي احمد - قليبية الشرقية,قليبية الشرقية,Nabeul 1
76.11,79.32,7.08,9.74,16.49,20.64,21.34,18.9,5.8,51.74,48.26,م إبتدائية طريق الشاطئ - قليبية الشرقية,قليبية الشرقية,Nabeul 1
65.42,69.87,6.23,12.06,18.34,21.63,21.5,16.29,3.96,52.02,47.98,م إبتدائية نهج ليبيــا - قليبية الشرقية,قليبية الشرقية,Nabeul 1
67.73,73.36,2.61,4.98,12.9,24.12,20.24,28.84,6.32,49.16,50.84,م إبتدائية 2 مارس 34- قليبية - قليبية الشرقية,قليبية الشرقية,Nabeul 1
82.36,84.53,3.79,12.2,16.67,18.26,18.79,21.97,8.33,52.31,47.69,م إبتدائية حي الرياض - قليبية الشرقية,قليبية الشرقية,Nabeul 1
70.66,73.56,6.18,9.31,16.33,21.11,20.71,21.43,4.93,54.86,45.14,م إبتدائية سيدي بوضاوي - قليبية الغربية,قليبية الغربية,Nabeul 1
68.69,74.05,5.66,9.75,15.29,22.2,20.99,21.45,4.67,52.22,47.78,م إبتدائية ســاحـة الجمهورية - قليبية الغربية,قليبية الغربية,Nabeul 1
74.36,75.19,5.71,9.95,17.72,21.18,19.32,22.02,4.11,53.72,46.28,م إبتدائية الميناء - قليبية الغربية,قليبية الغربية,Nabeul 1
59.76,61.91,5.85,7.96,17.81,22.76,20.92,20.6,4.11,49.87,50.13,م إبتدائية الانطلاقة حي اسمر - قليبية الغربية,قليبية الغربية,Nabeul 1
45.73,59.59,9.86,9.73,15.18,17.9,24.51,18.42,4.41,54.66,45.34,م إبتدائية الوديان ,الوديان,Nabeul 1
42.06,57.3,4.51,8.37,12.45,20.17,26.18,25.11,3.22,63.09,36.91,م إبتدائية القمبار - الوديان,الوديان,Nabeul 1
67.44,75.5,5.49,8.67,13.3,19.36,26.88,21.68,4.62,61.96,38.04,م إبتدائية السودان - الوديان,الوديان,Nabeul 1
43.18,56.25,6.25,12.5,10.23,17.05,26.14,26.14,1.71,56.25,43.75,م إبتدائية القيطون - الوديان,الوديان,Nabeul 1
60.34,73.49,10.82,9.65,15.91,18.88,22.48,17.5,4.77,47.19,52.81,م إبتدائية الرعينين ,الرعينين,Nabeul 1
60.78,73.35,9.28,11.08,11.38,22.16,21.56,20.66,3.89,56.59,43.41,م إبتدائية منزل عيسى - الرعينين,الرعينين,Nabeul 1
48.03,58.91,8.27,10.9,14.29,19.55,21.24,20.11,5.64,51.97,48.03,م إبتدائية القرصوليـــن - الرعينين,الرعينين,Nabeul 1
45.8,56.92,8.3,9.66,16.02,19.09,23.07,20.57,3.3,54.99,45.01,م إبتدائية سيدي عبد المنعم - بني عبد العزيز,بني عبد العزيز,Nabeul 1
44.51,58.23,7.59,9.07,15.61,20.68,23.63,19.2,4.22,57.81,42.19,م إبتدائية بني حماد - بني عبد العزيز,بني عبد العزيز,Nabeul 1
57.72,61.43,7.07,11.06,15.62,22.69,21.64,16.88,5.04,56.95,43.05,م إبتدائية الصقالبة ,الصقالبة,Nabeul 1
55.32,66.57,7.45,8.36,16.41,19.15,22.95,20.52,5.17,51.82,48.18,م إبتدائية القبة - الصقالبة,الصقالبة,Nabeul 1
69.46,79.29,7.32,6.28,11.51,22.18,23.85,21.97,6.9,54.39,45.61,م إبتدائية الغريس - الصقالبة,الصقالبة,Nabeul 1
58.09,64.24,4.41,8.3,20.08,19.67,22.03,19.78,5.74,52.05,47.95,م إبتدائية الشمردل - الصقالبة,الصقالبة,Nabeul 1
55.9,63.9,5.62,8.71,17.14,22.33,20.23,22.61,3.37,52.25,47.75,م إبتدائية سيدي جمال الدين - علي البلهوان,علي البلهوان,Nabeul 1
77.4,81.44,4.87,11.94,16.81,20.28,22.22,18.75,5.14,52.2,47.8,م إبتدائية الشيخ مبارك - علي البلهوان,علي البلهوان,Nabeul 1
66.64,71.12,7.62,10.8,16.67,23.58,20.98,16.29,4.07,50.02,49.98,م إبتدائية ابن خلدون - الطيب المهيري,الطيب المهيري,Nabeul 1
69.99,73.22,4.66,8.79,16.66,21.36,20.4,20.6,7.54,49.28,50.72,م إبتدائية زهيوة - الطيب المهيري,الطيب المهيري,Nabeul 1
67.37,71.25,5.45,9.92,16.9,18.46,22.27,20.4,6.6,50.78,49.22,م إبتدائية 34/3/2المحج - الطيب المهيري,الطيب المهيري,Nabeul 1
68.93,74,7.07,9.07,16.68,19.76,23.21,18.5,5.71,50.63,49.37,م إبتدائية العفة - الطيب المهيري,الطيب المهيري,Nabeul 1
63.81,67.01,6.78,10.05,16.73,20.4,21.49,20.31,4.23,52.49,47.51,م إبتدائية التميمية - الطيب المهيري,الطيب المهيري,Nabeul 1
67.68,73.67,5.01,10.51,16.75,17.41,21.68,22.41,6.24,52.09,47.91,م إبتدائية السعادة - الطيب المهيري,الطيب المهيري,Nabeul 1
64.77,75.83,6.84,9.53,15.23,19.37,21.91,21.13,6.01,55.06,44.94,م إبتدائية السعادة منـــــزل حـــــرّ ,منزل حر,Nabeul 1
67.01,78.44,2.86,8.07,20.05,19.27,20.83,20.31,8.59,47.01,52.99,م إبتدائية الفرابي منزل حرّ ,منزل حر,Nabeul 1
46.93,55.83,8.06,11,15.86,20.72,20.33,19.82,4.22,56.14,43.86,م إبتدائية الداموس - العصفور,عصفور,Nabeul 1
44.93,57.25,8.7,14.49,13.77,18.84,23.19,17.39,3.62,55.8,44.2,م إبتدائية تامزراط - العصفور,عصفور,Nabeul 1
55.26,62.72,5.7,10.09,17.98,17.11,23.68,21.05,4.39,55.26,44.74,م إبتدائية السد البساتين - العصفور,عصفور,Nabeul 1
62.1,71.15,8.55,9.97,17.62,18.26,24.35,16.97,4.28,52.01,47.99,م إبتدائية لزدين ,لزيدين,Nabeul 1
51.14,65.91,6.44,6.44,15.53,18.56,21.21,25.38,6.44,57.2,42.8,م إبتدائية الشعيبين - لزدين,لزيدين,Nabeul 1
73.99,78.95,5.35,9.57,17.92,20.99,20.61,20.87,4.68,51.91,48.09,م إبتدائية العربي زروق - الأسواق,الأسواق,Nabeul 1
61.1,66.28,5.94,10.63,17.95,21.3,22.97,18.37,2.83,49.13,50.87,م إبتدائية سيدي عمر - الأسواق,الأسواق,Nabeul 1
76.94,81.13,9.39,11.24,19.54,21.66,19.36,15.79,3.02,51.94,48.06,م إبتدائية بوغدير - الأسواق,الأسواق,Nabeul 1
58.14,68.44,5.21,9.2,15.63,18.96,24.95,22.62,3.44,55.7,44.3,م إبتدائية عين كميشة - النور,النور,Nabeul 1
73,79.26,4.26,8.42,17.24,20.74,24.55,20.64,4.16,51,49,م إبتدائية النارنج - النور,النور,Nabeul 1
63.78,72.76,5.57,8.05,17.03,22.91,19.2,22.6,4.64,64.71,35.29,م إبتدائية حي الهوارية السلامة - النور,النور,Nabeul 1
77.43,81.87,6.65,8.59,15.95,23.06,21.39,19.21,5.15,49.1,50.9,م إبتدائية سيدي عاشور - بئر شلوف,بئر شلوف ,Nabeul 1
84.9,87.87,6.77,11.79,19.65,18.77,17.26,18.05,7.71,55.04,44.96,م إبتدائية بئر شلوف ,بئر شلوف ,Nabeul 1
76.17,80.67,4.96,9.56,17.3,19.69,21.73,21.95,4.82,52.87,47.13,م إبتدائية 2مارس 34 نابل - بئر شلوف,بئر شلوف ,Nabeul 1
70.88,75.15,4.84,7.68,16.55,22.1,24.61,22.36,1.87,49.68,50.32,الروضة البلدية بئر شلوف,بئر شلوف ,Nabeul 1
81.72,85.41,5.49,10.65,17.31,17.5,21.92,21.77,5.37,49.92,50.08,م إبتدائية نيابوليس ,نيابوليس,Nabeul 1
81.98,85.76,6.88,8.76,16.67,22.21,19.99,19.61,5.89,52.27,47.73,م إبتدائية الحبيب ثامر نابل - الحدائق,الحدائق,Nabeul 1
80.18,84.44,5.49,7.73,15.99,20.42,21.88,21.56,6.93,47.1,52.9,م إبتدائية ابن خلدون - الحدائق,الحدائق,Nabeul 1
84.4,88,6.52,11.13,17.48,19.83,21.13,18.3,5.61,48.13,51.87,م إبتدائية الحبيب كرمة - الحدائق,الحدائق,Nabeul 1
55.64,67.21,7.22,7.9,13.49,21.45,25.56,20.2,4.18,59.09,40.91,م إبتدائية سيدي الجديدي ,سيدي الجديدي,Nabeul 2
64.66,77.81,6.85,9.59,13.43,23.84,24.11,16.99,5.21,61.37,38.63,م إبتدائية حمام بنت الجديدي - سيدي الجديدي,سيدي الجديدي,Nabeul 2
56.15,72.13,9.43,6.97,17.62,17.62,24.18,20.49,3.69,62.3,37.7,م إبتدائية المنشار - سيدي الجديدي,سيدي الجديدي,Nabeul 2
55.82,66.87,11.45,7.43,15.86,23.29,22.29,17.07,2.61,54.82,45.18,م إبتدائية تافرنين - سيدي الجديدي,سيدي الجديدي,Nabeul 2
61.3,74.01,14.41,9.32,13.84,20.9,24.58,14.12,2.83,62.15,37.85,م إبتدائية حتوس - سيدي الجديدي,سيدي الجديدي,Nabeul 2
56.7,66.49,9.25,10.59,13.54,20.24,25.74,17.96,2.68,60.46,39.54,م إبتدائية جبل الأطرش ,الأطرش,Nabeul 2
56.81,69.11,6.81,7.59,14.66,18.06,24.87,23.56,4.45,67.02,32.98,م إبتدائية المزيرعة - الأطرش,الأطرش,Nabeul 2
61.31,69,10.75,9.35,11.45,24.77,24.3,16.12,3.27,61.54,38.46,م إبتدائية وادي الأسود - الأطرش,الأطرش,Nabeul 2
65.81,70.59,4.16,9.4,19.15,20.78,20.58,21.79,4.16,52.43,47.57,م إبتدائية ابن خلدون بئر بورقبة,بئر بورقبة,Nabeul 2
62.81,74.18,4.63,7.92,17.18,20.66,23.55,21.24,4.83,63.39,36.61,م إبتدائية بني وائل - بئر بورقبة,بئر بورقبة,Nabeul 2
69.99,76.37,5.7,7.92,16.94,22.9,21.95,19.31,5.28,55.27,44.73,م إبتدائية قصر الزيت بئر بورقبة ,بئر بورقبة,Nabeul 2
64.9,69.63,3.48,8.07,14.5,21.46,28,20.56,3.94,64.66,35.34,م إبتدائية الفتــح براكة الساحل,براكة الساحل ,Nabeul 2
61.19,67.57,2.92,6.7,13.41,21.62,32.65,19.24,3.46,64.86,35.14,م إبتدائية بئر البيتة - براكة الساحل ,براكة الساحل ,Nabeul 2
60.14,71.2,5.97,6.41,14.4,23.35,28.36,18.7,2.81,61.72,38.28,م إبتدائية سيدي حماد - براكة الساحل ,براكة الساحل ,Nabeul 2
52.81,54.46,1.65,4.56,11.11,21.73,34.72,24.1,2.13,57.7,42.3,م إبتدائية العهد الجديد براكة الساحل ,براكة الساحل ,Nabeul 2
72.57,77.36,4.14,6.01,15.67,23.45,26.01,20.1,4.63,55.26,44.74,م إبتدائية البلهوان - الحمامات الجوفية, الحمامات الجوفية,Nabeul 2
70.63,74.19,5.82,8.83,16.36,20.4,24.91,20.29,3.39,57.26,42.74,م إبتدائية المهيري - الحمامات الجوفية, الحمامات الجوفية,Nabeul 2
78.11,81,4.48,7.68,15.93,22.4,23.75,19.78,5.98,54.13,45.87,م إبتدائية شارع بورقيبة - الحمامات الجوفية, الحمامات الجوفية,Nabeul 2
76.31,80.2,6.01,8.91,16.42,24.31,20.41,18.44,5.5,53.61,46.39,م إبتدائية الأمل - الحمامات الجوفية, الحمامات الجوفية,Nabeul 2
79.47,82.98,4.73,7.81,15.34,21.5,24.89,20.08,5.65,53.57,46.43,م إبتدائية شارع التحرير - الحمامات الجوفية, الحمامات الجوفية,Nabeul 2
79.73,81.41,5.4,8.79,16.65,22.58,22.63,18.82,5.13,55.57,44.43,م إبتدائية شارع الجمهورية - الحمامات الشرقية, الحمامات الشرقية,Nabeul 2
60.44,73.37,6.02,7.94,17.16,22.54,24.46,18.44,3.46,58.9,41.1,م إبتدائية البسباسية - الحمامات الغربية , الحمامات الغربية,Nabeul 2
67.97,71.94,4.66,7.48,15.33,22.4,26.16,21.25,2.72,54.91,45.09,م إبتدائية الناظور - الحمامات الغربية , الحمامات الغربية,Nabeul 2
63.9,69.08,3.19,8.17,14.5,19.48,25.15,23.14,6.36,59.49,40.51,م إبتدائية المرازقة ,المرازقة,Nabeul 2
73.78,77.62,5.93,9.76,19.25,20.48,19.63,19.85,5.1,61.92,38.08,م إبتدائية ساحة التحرير - بني خلاد الجوفية,بني خلاد الجوفية,Nabeul 2
69.83,75.68,5.56,9.85,19.53,19.7,19.55,20.72,5.1,39.57,60.43,م إبتدائية العربي زروق - بني خلاد الجوفية,بني خلاد الجوفية,Nabeul 2
63.89,70.81,5.3,8.22,13.19,18.38,24.32,23.24,7.35,54.49,45.51,م.إعدادية 23 جانفي 1952 بني خلاد,بني خلاد الجوفية,Nabeul 2
60.18,67.43,8.71,9.04,16.78,22.88,19.79,19.14,3.67,52.61,47.39,م إبتدائية سيدي التومي - بني خلاد القبلية,بني خلاد القبلية ,Nabeul 2
65.66,71.35,6.71,10.26,18.18,20.68,19.41,20.39,4.37,48.86,51.14,م إبتدائية زاوية الجديدي,زاوية الجديدي,Nabeul 2
71.73,78.53,9.95,10.47,13.09,21.47,20.94,17.8,6.28,53.93,46.07,م إبتدائية المغرة - زاوية الجديدي,زاوية الجديدي,Nabeul 2
71.24,76.58,8.56,10.34,17.12,22.46,20.68,16.48,4.36,53.15,46.85,م إبتدائية القبودي - القبة الكبيرة,القبة الكبيرة,Nabeul 2
64.73,72.61,8.71,9.86,17.53,18.88,20.02,20.75,4.25,55.71,44.29,م إبتدائية القبة الكبيرة ,القبة الكبيرة,Nabeul 2
67.77,72.38,6.45,8.1,19.89,19.71,21.18,20.63,4.05,50.09,49.91,م إبتدائية باطرو - القبة الكبيرة,القبة الكبيرة,Nabeul 2
57.59,66.46,6.56,10.09,15.07,23.21,23.57,18.59,2.92,50.18,49.82,م إبتدائية بئر دراسن ,بئر دراسن,Nabeul 2
60.08,69.29,6.73,7.69,18.85,19.62,20.39,22.5,4.23,65.64,34.36,م إبتدائية المزنين - بئر دراسن,بئر دراسن,Nabeul 2
68.64,74.81,6.67,7.16,14.32,27.65,24.69,15.8,3.7,52.59,47.41,م إبتدائية العهد الجديد بئر دراسن ,بئر دراسن,Nabeul 2
